pagina,id_doc,remetente,destinatario,data,tipo_doc,onomastico,memo_resumo
4283,CO_2775,Eugenio Luraghi,Candido Portinari,26/06/1958,Carta,Abrahão Koogan,"Acusa recebimento de carta e das fotos de novas obras, comentando as cores, comparando-as com as reproduções do livro ""Israel"". Comenta que as vendas em Nova York não foram muito bem. Mas, de resto, mostra-se bastante satisfeito. Informa ter sido devolvido o exemplar enviado aTereza Nicolao. Refere-se ao sucesso da exposição no México, perguntando  quando fará mostra em Paris."
4284,CO_2776,Everaldo Dayrell de Lima,Candido Portinari,27/03/1957,Telegrama,null,Cumprimenta Portinari pelo êxito da exposição em Paris.
4285,CO_2777,Jorge de Lima,Candido Portinari,11/12/1946,Telegrama,null,"Cumprimenta Portinari, dando-lhe boas vindas."
4286,CO_2778,Jorge de Lima,Candido Portinari,04/06/1940,Carta,Emeric Marcier,"Avisa estar enviando uma decalração, já datilografada, sobre o pintor Emeric Marcier, para que Portinari assine. Diz que o prestígio de Portinari ajudaria muito quanto ao processo de permanência do interessado no Brasil."
4288,CO_2779,José de Queiroz Lima,Maria Portinari,10/11/1941,Carta,Archibald MacLeish,"Dá notícias a Portinari: da família, dos amigos e da política entre Brasil e Estados Unidos."
4291,CO_2780,José de Queiroz Lima,Candido Portinari,12/12/1941,Carta,Archibald MacLeish,"Pede que Portinari arranje-lhe os livros de MacLeish. Dá notícias rápidas, pedindo fotos dos painéis e mandando agradecer à Florence Horn um exemplar da ""Fortune""."
4293,CO_2781,José de Queiroz Lima,Maria Portinari,22/02/1935,Bilhete,null,"Cumprimenta o casal Portinari, carinhosamente."
4294,CO_2782,José de Queiroz Lima,Candido Portinari,27/01/1935,Cartão,null,"Cumprimenta Portinari, avisando que irá almoçar qualquer dia."
4296,CO_2783,José de Queiroz Lima,Maria Portinari,07/01/1936,Carta,Cornélio Pena,Comenta assuntos pessoais e da Universidade do Distrito Federal.
4300,CO_2784,José de Queiroz Lima,Candido Portinari,18/01/1936,Carta,José Jobim,"Parabeniza Portinari  por um retrato publicado em ""O Globo"". Pede notícias de amigos comuns,"
4301,CO_2785,José de Queiroz Lima,Candido Portinari,19/01/1936,Carta,null,Comenta assuntos pessoais. Insiste para que Portinari consiga publicar assuntos da América.
4302,CO_2786,José de Queiroz Lima,Maria Portinari,23/01/1936,Carta,null,Comenta assunto pessoal.
4305,CO_2787,José de Queiroz Lima,Candido Portinari,04/02/1941,Carta,José Jobim,"Responde carta de Portinari, sugerindo que o artista mande material para uma entrevista que ele fará publicar, inclusive em São Paulo, na sucursal de ""A Noite"". Informa que soube, através de José Jobim, da chegada de alguns números, já vendidos, do álbum de Chicago."
4312,CO_2788,José de Queiroz Lima,Candido Portinari,03/03/1942,Carta,null,Comenta assuntos pessoais.
4315,CO_2789,José de Queiroz Lima,Candido Portinari,10/01/1945,Carta,null,Comenta assuntos pessoais.
4319,CO_2790,José de Queiroz Lima,Apolônio de Carvalho,/07/1946,Carta,Georges Politzer,"Comenta assuntos pessoais, usando o tratamento de ""coronel""."
4321,CO_2791,José de Queiroz Lima,Candido Portinari,19/07/1946,Carta,Apolônio de Carvalho,"Comenta assuntos pessoais, bem como a situação política do Brasil."
4325,CO_2792,José de Queiroz Lima,Candido Portinari,21/08/1946,Carta,null,Comenta a situação política no Brasil. Pede que Portinari informe-se do custo de uma pequena impressora. Informa que o balé (para o qual Portinari desenhou os figurinos) foi um sucesso.
4327,CO_2793,José de Queiroz Lima,Candido Portinari,14/08/1946,Carta,Getulio Vargas,"Comenta a situação política do Brasil, que conduz a clima de revolta, citando Vargas. Dá notícias pessoais."
4329,CO_2794,José de Queiroz Lima,Candido Portinari,06/09/1946,Carta,Antonio Bento,Dá notícias sobre o Rio e solicita favores pessoais.
4332,CO_2795,José de Queiroz Lima,Candido Portinari,26/09/1946,Carta,Dwight Eisenhower,Comenta a situação política do Brasil. Trata de assuntos pessoais.
4336,CO_2796,José de Queiroz Lima,Candido Portinari,09/09/1946,Carta,Apolônio de Carvalho,"Parabeniza Portinari pelo sucesso de sua exposição, noticiado pela imprensa em geral, e comenta a situação política no Brasil."
4338,CO_2797,José de Queiroz Lima,Candido Portinari,31/10/1946,Carta,null,Trata de assuntos pessoais.
4340,CO_2798,José de Queiroz Lima,Candido Portinari,10/02/1947,Carta,null,Comenta o regresso de Portinari e a vontade renovada de pintar. Refere-se à candidatura do pintor à senatoria.
4342,CO_2799,José de Queiroz Lima,Candido Portinari,15/09/1950,Carta,Getulio Vargas,"Comenta assuntos pessoais, bm como a situação política no Brasil."
4344,CO_2800,José de Queiroz Lima,Candido Portinari,17/10/1950,Carta,Getulio Vargas,"Comenta assuntos pessoais, bm como a situação política no Brasil."
4346,CO_2801,José de Queiroz Lima,Candido Portinari,/05/1953,Carta,null,"Comenta estar enviando para Portinari um livro sobre técnicas de pintura, de 1696."
4347,CO_2802,José de Queiroz Lima,Candido Portinari,07/05/1954,Cartão-postal,null,Transmite impressões de sua viagem à Rússia.
4349,CO_2803,José de Queiroz Lima,Candido Portinari,/07/1954,Cartão-postal,null,ransmite impressões de sua viagem à Holanda.
4351,CO_2804,José de Queiroz Lima,Candido Portinari,07/11/1961,Carta,Maria Portinari,"Procura consolar Portinari, sabedor de seu estado de espírito."
4353,CO_2805,José de Queiroz Lima,Candido Portinari,/  /1946,Carta,null,"Parabeniza Portinari pelo sucesso da exposição em Paris, bem como pela condecoração recebida do governo francês."
4355,CO_2806,José de Queiroz Lima,Candido Portinari,29/12/1947,Carta,null,"Felicita Portinari pelo aniversário, lembrando ser um aniversário diferente, por ser passado no exílio."
4356,CO_2807,José de Queiroz Lima,Candido Portinari,/08/1946,Carta,null,"Informa sobre a situação política no Brasil, supondo uma ameaça de golpe."
4357,CO_2808,José de Queiroz Lima,Candido Portinari,/  /1947,Carta,null,Comenta a situação política no Brasil.
4359,CO_2809,José de Queiroz Lima,Candido Portinari,/  /1948,Carta,null,Felicita Portinari por uma homenagem recebida na Argentina. Informa sobre a situação política no Brasil.
4360,CO_2810,Eugenio Luraghi,Maria Portinari,26/09/1958,Carta,João Candido Portinari,"Pede certeza da data em que Portinari chegará à Itália, tratando de hospedagem. Refere-se à importância dos estudos de João Candido em Paris, além de que os trará mais frequentemente à Europa."
4361,CO_2811,José de Queiroz Lima,Candido Portinari,/  /19--,Bilhete,null,Avisa ser portador de francos para Portinari. Marca encontro no hotel.
4362,CO_2812,José de Queiroz Lima,Candido Portinari,/  /19--,Bilhete,null,"Trata de assunto pessoal, não muito claro."
4363,CO_2813,José de Queiroz Lima,Maria Portinari,/  /1940,Carta,null,Comenta assuntos pessoais.
4365,CO_2814,Juracy de Queiroz Lima,Maria Portinari,/12/1947,Cartão,null,Deseja Boas Festas aos Portinaris.
4367,CO_2815,Juracy de Queiroz Lima,Maria Portinari,/01/1945,Carta,null,Comenta assuntos pessoais.
4370,CO_2816,Juracy de Queiroz Lima,João Candido Portinari,15/09/19--,Carta,null,Comenta assuntos pessoais.
4371,CO_2817,Juracy de Queiroz Lima,Maria Portinari,10/03/1942,Carta,null,Comenta assuntos pessoais.
4373,CO_2818,Juracy de Queiroz Lima,Maria Portinari,16/01/19--,Carta,null,Comenta assuntos pessoais e agradece a estadia em Brodowski.
4376,CO_2819,Juracy de Queiroz Lima,Maria Portinari,31/10/1940,Carta,Raul Bopp,Comenta assuntos pessoais.
4378,CO_2820,Candido Portinari,Cypriano Amoroso Costa,/  /19--,Carta,null,"Informa estar enviando cheque para contribuição à [edição de] ""Macunaíma"" e para o exemplar de Debret."
4379,CO_2821,Juracy de Queiroz Lima,Maria Portinari,26/12/1941,Carta,null,Tratam de assuntos pessoais.
4381,CO_2822,Eugenio Luraghi,Candido Portinari,19/09/1958,Carta,null,"Diz esperar pelos Portinaris, em Milão, ofendendo-se caso não aceitem ser seus hóspedes. Acha melhor decidirem juntos quanto à reprodução de ""D. Quixote"" (provavelmente para o livro novo)"
4382,CO_2823,Eugenio Luraghi,Maria Portinari,19/09/1958,Carta,null,"Informa que não conseguiu reservas para o navio Augustus. Mas, conseguiu vagas no Conte Grande."
4383,CO_2824,Eugenio Luraghi,Candido Portinari,28/09/1958,Carta,null,"Acusa recebimento de carta e telegrama, que confirma a chegada de Portinari a Milão no dia 10 de outubro. Confirma reserva de hotel. Comenta assuntos pessoais."
4384,CO_2825,Robert Lingel,Maria Portinari,29/10/1940,Carta,null,"Solicita o envio da litografia ""Two Mothers"", pelo preço combinado."
4385,CO_2826,Eugenio Luraghi,João Candido Portinari,20/09/1958,Carta,null,"Comenta assuntos pessoais e oferece-se para ajudar no que João possa precisar, durante seus estudos em Paris."
4386,CO_2827,François Le Lionnais,Maria Portinari,11/08/1946,Cartão-postal,null,"Marca encontro com os Portinaris, em seu retorno, enviando seu endereço."
4388,CO_2828,François Le Lionnais,Maria Portinari,06/09/1946,Cartão-postal,null,"Avisa que terminam suas férias, esperando encontrá-los em breve."
4390,CO_2829,François Le Lionnais,Candido Portinari,21/09/1946,Carta,null,"Informa estar enviando uma lista com nomes de amigos, para os quais gostaria de obter convites para o ""vernissage"" da exposição de Portinari."
4391,CO_2830,François Le Lionnais,Maria Portinari,04/11/1946,Carta,null,"Mostra-se interessado em marcar encontro com Portinari, para jantar ou almoçar."
4392,CO_2831,François Le Lionnais,Candido Portinari,04/12/1946,Carta,null,"Cumprimenta Portinari, tratando de assuntos pessoais, onde solicita alguns favores."
4393,CO_2832,François Le Lionnais,Candido Portinari,15/07/1947,Carta,null,Comenta assuntos pessoais.
4395,CO_2833,Henriqueta Lisboa,Candido Portinari,20/07/1945,Carta,null,Agradece a gravura enviada por Portinari e elogia a obra realizada na Pampulha.
4397,CO_2834,Eugenio Luraghi,Candido Portinari,11/09/1958,Carta,null,"Pede que o artista avise com antecedência a ida a Milão, para que haja tempo de reservar hotel. Diz ter sido avisado da chegada de uma obra, na Embaixada de Israel. Mostra-se impaciente em ver o desenho de ""D. Quixote"" (para o livro)"
4398,CO_2835,Eugenio Luraghi,Candido Portinari,04/10/1958,Carta,null,"Comunica o nacimento de um neto, convidando Portinari para ir até Lugano. Acusa recebimento de quadro. Comenta assuntos pessoais."
4400,CO_2836,Eugenio Luraghi,Abrahão Koogan,04/03/1958,Carta,null,"Informa que vai remeter os desenhos de Portinari à Embaixada de Israel em Roma, para serem enviados ao Rio. Confirma o envio de 1000 exemplares do livro pela Ilte, informando que haverá expedição também para Nova York."
4401,CO_2837,Eugenio Luraghi,Arie Aroch,04/03/1958,Carta,Abrahão Koogan,"Desculpa-se pelo erro na tradução inglesa do livro sobre Portinari, informando que será incluída nota para os exemplares que seguirão para Israel. Diz que, recomendado por Mr. Koogan, enviará as peças originais de Portinari para o Rio, através da Embaixada de Israel em Roma. Pede que a Embaixada envie-lhe a obra que Portinari lhe deu e que está em exposição na Alemanha."
4402,CO_2838,Eugenio Luraghi,Candido Portinari,05/03/1958,Carta,Abrahão Koogan,"Relata o envio de exemplares do livro a Koogan, informando que serão enviados também à América do Norte. Mostra-se contente porque o livro está saindo no ano do décimo aniversário do Estado de Israel. Segundo orientação recebida de Koogan, enviará os originais ao Brasil, por intermédio da Embaixada de Israel em Roma. Avisa sobre cartas enviadas a Koogan e ao Ministro Aroch."
4403,CO_2839,Angus Chisholm Littlejohn Junior,Candido Portinari,/  /194-,Bilhete,null,"Cumprimenta Portinari, com quem se encontrou, na véspera, em coquetel no Piazza."
4404,CO_2840,Maurício Littman,Candido Portinari,/  /194-,Telegrama,null,Marca encontro com Portinari para tratar de detalhes de assunto indeterminado.
4405,CO_2841,Eugenio Luraghi,Candido Portinari,12/01/1955,Carta,null,"Trata de detalhes da distribuição do livro ""Disegni di Portinari"", que está quase pronto. Diz estar enviando página publicitária do livro para a revista ""Dramma"". Fala de assuntos pessoais. Deseja saber se Portinari já conseguiu local para execução dos painéis para a ONU. Comenta ter escrito artigo sobre a obra, na revista ""Ferrania""."
4407,CO_2842,null,Candido Portinari,12/09/1961,Carta,null,"Registra estar devolvendo três desenhos e estar enviando cheque para pagamento de outros três desenhos. Pede devolução da segunda via, assinada."
4408,CO_2843,Hilda Llodio,Maria Portinari,06/01/1939,Carta,Helena Rubinstein,Comenta assuntos pessoais. Trata do embarque de obras de Portinari que pertenceriam à coleção de Helena Rubinstein.
4410,CO_2844,Hilda Llodio,Maria Portinari,19/02/1940,Carta,Helena Rubinstein,"Informa que as obras de Helena Rubinstein foram enviadas a Nova York. Comenta artigo da ""Vogue"", com reproduções de obras."
4411,CO_2845,Hilda Llodio,Maria Portinari,30/05/1940,Carta,Helena Rubinstein,Pergunta se Portinari recebeu a lista de obras expostas da coleção de Helena Rubinstein. Comenta assuntos pessoais.
4412,CO_2846,Hilda Llodio,Maria Portinari,/  /19--,Carta,null,Receita um regime alimentar para Maria.
4414,CO_2847,Hilda Llodio,Maria Portinari,09/05/1940,Carta,null,"Avisa estar remetando a lista das obras de Helena Rubinstein incluídas na exposição em Nova York. Informando que, anteriormente, foram expostas em Washington. Trata de assuntos gerais."
4416,CO_2848,Eleanor B. Lloyd,Lenore Browning,/  /1940,Carta,null,"Informa estar enviando cheque relativo ao pagamento da obra ""The Circus"", de Portinari. Pede para ser identificada na etiqueta da obra, nas itinerâncias (da exposição), como Mrs. H. Gates Lloyd."
4418,CO_2849,Eleanor B. Lloyd,Lenore Browning,/  /1940,Carta,null,"Informa estar enviando o cheque correto, de parte do pagamento da obra ""Circus"" de Portinari."
4419,CO_2850,Mílton Lobato,Candido Portinari,08/10/1957,Carta,Elisa Branco,Avisa estar enviando fotografias para que Portinari execute o retrato de Elisa Branco.
4420,CO_2851,F. A. Loeffel,Candido Portinari,22/05/1942,Carta,null,"Agente da ""The Pennsylvania Railroad"" trata de um débito relativo à compra de passagens no mês de janeiro, em Nova York."
4421,CO_2852,Marie D. Loizeaux,Candido Portinari,13/11/1940,Carta,null,"Desejando incluir Portinari na publicação anual da ""Current biography"", pede que seja enviada uma fotografia do pintor, bem como foto de quadros seus, para ilustrar seu verbete."
4422,CO_2853,Maria Lomonaco,Maria Portinari,08/03/1945,Carta,null,Trata de assuntos pessoais.
4424,CO_2854,Alfred A. Longden,Candido Portinari,12/06/1946,Carta,null,"Informa que os desenhos que figuraram na exposição em Londres já foram remetidos para o Brasil e que, talvez, cheguem a tempo de participar da mostra na Galeria Charpentier."
4425,CO_2855,Eugenio Luraghi,Candido Portinari,08/04/1958,Carta,Abrahão Koogan,"Informa estar enviando um artigo de Raffaele Carrieri, publicado na revista ""Epoca"". Informa, ainda, que os primeiros 1000 exemplares do livro foram enviados ao Sr. Koogan, estão sendo expedidos 500 para Nova York e serão enviados 650 para o Brasil."
4426,CO_2856,Eugenio Luraghi,Candido Portinari,07/10/1954,Carta,Chiara Luraghi,"Informa que o livro deverá ser lançado perto do Natal. Diz ter enviado a Gerometta as condições da companhia de navegação para a viagem de Portinari. Conta que Chiara escreveu artigo na revista ""Bellezza"" sobre exposição de Portinari na Itália. Espera que o pintor tenha recebido as tintas que lhe enviou. Pergunta sobre o ""Descobrimento do Brasil""."
4428,CO_2857,Mem Sardinha Xavier da Silveira,null,/09/1953,Carta,Pierre Gosset,"Reclama de referência a Portinari como ""o pintor negro brasileiro"", em artigo publicado na edição de agosto de 1953 da revista ""Réalités"", assinado por Pierre e René Gosset. Fornece algumas informações biográficas sobre o pintor, mostrando-se surpreso com o desconhecimento dos articulistas."
4429,CO_2858,Carmem S. B. de Lozada,Candido Portinari,02/04/1948,Carta,Enrique S. de Lozada,"Lamenta que o governo brasileiro não tenha aceito as propostas da UNAC-ONU, em campanha em prol das crianças desamparadas. Pede a colaboração de Portinari, enviando foto ou autorizando a reprodução de um determinado quadro, para distribuição em diversos países."
4431,CO_2859,Enrique S. de Lozada,Candido Portinari,04/07/19--,Bilhete,null,"Apresenta dois jovens artistas, portadores do bilhete, a Portinari."
4432,CO_2860,Enrique S. de Lozada,Candido Portinari,21/04/1942,Carta,null,Comenta a significação de Brodowski para Portinari e sua obra.
4433,CO_2861,Eugenio Luraghi,Candido Portinari,27/03/1959,Carta,Chiara Luraghi,"Comunica o nascimento de outra neta. Informa que sua filha Chiara irá ao Rio de Janeiro, pedindo que Portinari permita-lhe participar de seu trabalho. Refere-se à edição italiana do livro ""Israel""."
4434,CO_2862,Solange Diniz Lucie,Candido Portinari,17/04/1948,Telegrama,null,Deseja felicidade.
4435,CO_2863,Pierre Antoine Lucie,Candido Portinari,06/07/1947,Telegrama,null,Comunica o nascimento de seu filho.
4436,CO_2864,Solange Diniz Lucie,Candido Portinari,/  /1946,Telegrama,null,Comunica a data de seu casamento.
4437,CO_2865,Solange Diniz Lucie,Maria Portinari,20/01/1947,Telegrama,null,Pede notícias dos Portinaris.
4438,CO_2866,Artur Lundkvist,Candido Portinari,12/05/1958,Carta,null,"Em nome do Instituto Internacional da Paz, de Viena, convida Portinari para uma reunião informal. Pede que Portinari envie seus pontos de vista e suas sugestões concernentes ao intercâmbio cultural, caso não possa comparecer."
4439,CO_2867,Eugenio Luraghi,Candido Portinari,02/12/1958,Carta,José Olympio,"Agradece carta recebida. Comenta estar esperando decisão de José Olympio, a respeito do livro de desenhos. Conta ter recebido uma tradução francesa do livro ""A selva"", com dedicatória do autor, identificando a interferência de Portinari. Felicita o artista pelo sucesso nos Estados Unidos. Diz já estar pensando em um novo livro sobre a obra do pintor e que, breve, far-lhe-á uma proposta."
4440,CO_2868,Eugenio Luraghi,null,/  /19--,Bilhete,Valério Gerometta,"Refere-se à uma carta de Gerometta, citando fotografias."
4441,CO_2869,Dario Luraghi,João Candido Portinari,/  /19--,Carta,null,Comenta assuntos pessoais.
4442,CO_2870,Eugenio Luraghi,Candido Portinari,25/06/1949,Carta,null,"Agradece a acolhida no Rio de Janeiro, pedindo que Portinari envie-lhe fotografias do ""Tiradentes"" e de outras obras recentes."
4443,CO_2871,Alfred Max,Mem Sardinha Xavier da Silveira,17/11/1953,Carta,Pierre Gosset,Agradece e informa estar transmitindo os dados enviados sobre Portinari à Pierre e Renée Gosset.
4444,CO_2872,Eugenio Luraghi,Candido Portinari,07/07/1949,Carta,null,"Reitera o pedido feito por cabograma anteriormente enviado, solicitando fotos de Portinari e de sua família, bem como de obras recentes, especialmente do ""Tiradentes"", para ilustrar artigo que vai escrever sobre o pintor."
4446,CO_2873,Eugenio Luraghi,Candido Portinari,20/07/1949,Carta,null,"Acusa recebimento das fotografias, esperando haver tempo para publicá-las na revista ""Tempo"" . Comenta ser revista de grande tiragem, o que levaria a obra de Portinari ao conhecimento de inúmeras pessoas."
4447,CO_2874,Eugenio Luraghi,Candido Portinari,29/09/1949,Carta,Rafael Alberti,"Mostra-se satisfeito por Portinari ter gostado de seu artigo, publicado na revista ""Tempo"", informando ter feito grande sucesso. Ainda mostra-se feliz com o sucesso da exposição do mural ""Tiradentes"" e com a possível viagem de Portinari e família à Itália, fornecendo diversas informações sobre viagem turística. Diz estar também esperando por Rafael Alberti."
4449,CO_2875,Eugenio Luraghi,Candido Portinari,15/12/1949,Carta,null,"Alegra-se com a chegada de Portinari e família a Paris, esperando-os breve na Itália. Diz aguardar o livro que está sendo impresso sobre a obra de Portinari."
4450,CO_2876,Eugenio Luraghi,Candido Portinari,15/04/1950,Carta,null,"Informa haver problemas ""de importação"" para o envio, ao Brasil, do microscópio solicitado. Quanto ao livro de Hoepli, pede confirmação do título."
4451,CO_2877,Eugenio Luraghi,Candido Portinari,17/04/1950,Bilhete,null,"Diz estar enviando, anexo, telegrama devolvido."
4452,CO_2878,Eugenio Luraghi,Candido Portinari,19/01/1950,Carta,null,Mostra-se alegre com a intenção de Portinari de ir à Itália. Dá informações sobre preços para alojamento e alimentação.
4453,CO_2879,Eugenio Luraghi,Candido Portinari,04/03/1950,Carta,null,"A respeito da viagem de Portinari à Itália, sugere passeios a fazer. Combina encontrar-se com a família Portinari em Veneza. Mostra-se feliz com a proposta de Portinari, para fazerem um livro juntos, uma vez que sua arte o conquistou."
4455,CO_2880,Eugenio Luraghi,Candido Portinari,24/03/1950,Carta,null,"Deseja que Portinari tenha encontado uma Paris acolhedora e serena para trabalhar. Confessa-se feliz por haver encontrado nele um amigo precioso, reconhecendo sua missão artística, a ser testemunhada pelos séculos futuros. Informa ter enviado ao Consulado de Paris 4 cartas recebidas para ele. Diz estar completamente envolvido com o livro dedicado a ele. Refere-se ao quadro que Portinari fez para ele, do qual lhe mandará fotografia a cores."
4457,CO_2881,Eugenio Luraghi,Candido Portinari,20/03/1950,Bilhete,null,"Espera que Portinari tenha recebido sua carta anterior, na qual enviou fotografias (da viagem a Chiampo). Incentiva o artista a pintar muito."
4458,CO_2882,Eugenio Luraghi,Candido Portinari,11/04/1950,Carta,Rafael Alberti,"Comenta que tem pensado no livro que pretende fazer. E que ainda não encontrou o tratado de pintura de Hoepli, que interessa a Portinari, mas promete procurá-lo e enviá-lo logo. Pede que avise quando pretende partir para o Rio, pois pretende encontrá-lo ainda em Paris. Avisa que o microscópio será enviado ao Rio. Informa ter recebido carta de Rafael, que encontra-se em Punta del Este."
4460,CO_2883,Eugenio Luraghi,Candido Portinari,08/08/1950,Carta,José Simeão Leal,"Comenta a Bienal de Veneza, observando que a obras de Portinari estão mal localizadas e com péssima luz; acrescenta que misturaram-no com pintores insignificantes e que, na página de apresentação, escrita por Sérgio Milliet, Portinari nem é citado. Pergunta quem é José Simeão Leal, que organizou a representação do Brasil. Diz esperar que seu artigo para a revista ""Domus"" saia antes do fechamento da Bienal."
4464,CO_2884,Eugenio Luraghi,Candido Portinari,11/05/1951,Carta,null,"Mostra-se satisfeito por Portinari ter gostado do livro. Pede ser informado de quantos exemplares ainda deve enviar. E pede orientação a respeito do microscópio de João. Comenta sobre um novo trabalho de Portinari, do qual espera ver a fotografia do esboço."
4465,CO_2885,Eugenio Luraghi,Candido Portinari,09/05/1950,Carta,Rafael Alberti,"Acusa recebimento de carta. Mostra-se satisfeito em saber que Portinari foi convidado a fazer um mural para a Biblioteca Nacional do Panamá, querendo saber o que Portinari fará. Mostra-se feliz com a notícia de que Portinari irá à Itália, perguntando se deseja que providencie um atelier. Deseja saber o que o pintor enviará para a Bienal de Veneza. Informa que Rafael escreveu."
4467,CO_2886,Eugenio Luraghi,Candido Portinari,19/05/1950,Carta,Maria Portinari,"Acusa recebimento de carta de Maria. Pergunta quando receberá foto do novo quadro. E mostra-se ansioso para que Portinari vá à Itália. Diz ter sabido, pela carta de Maria, que os quadros enviados à Bienal não foram os escolhidos por ele, Portinari, perguntando quais foram. Comenta que vai precisar de fotos e dados biográficos para o livro que vai publicar. Faz uma série de perguntas para esclarecer alguns dados. Diz estar atento quanto à permissão necessária para o envio do microscópio."
4469,CO_2887,Eugenio Luraghi,Candido Portinari,05/06/1950,Carta,null,"Agardece cartas recebidas, informando que irá a Veneza para ver as obras de Portinari expostas. Diz que escreverá contando como estão colocados os quadros e informando sobre a crítica. Fornece informações - preço, sugestão, recomendações  - para Portinari comprar um carro. Diz continuar esperando pela viagem de todos da família Portinari a Milão."
4471,CO_2888,Eugenio Luraghi,Candido Portinari,20/07/1950,Carta,Clóvis Graciano,"Informa que estará ausente de Milão por três semana, comentando que vai visitar a Bienal de Veneza novamente. Mostra-se satisfeito por sabê-lo motorizado. Informa que o livro deverá sair em setembro ou outubro e que vai usar reprodução do quadro que Portinari fez para ele, em Milão, do qual muito se orgulha. E que publicará anúncio do livro na revista ""Domus"", com fotografias."
4475,CO_2889,Eugenio Luraghi,Candido Portinari,25/07/1950,Carta,null,"Desculpa-se pela demora em responder carta de Portinari, alegrando-se por saber que gostou do texto escrito para o livro. Diz que ainda não pode retornar à Bienal, mas espera fazê-lo em breve. Pede o envio de foto das telas novas, reafirmando sua vontade de fazer mostra individual de Portinari em Milão. Insiste para que ele vá passar um tempo lá."
4477,CO_2890,Eugenio Luraghi,Candido Portinari,01/10/1950,Carta,Renzo Biasion,"Agradece o desenho que Portinari enviou-lhe, através do pintor e escritor Biasion, que esteve com ele em Paris. Mostra-se satisfeito com a possibilidade do artista ir à Itália, a Verona, pedindo-lhe que, se for, leve fotografia de seus últimos quadros. Espera que seu artigo e o anúncio do livro saiam logo na revista ""Domus""."
4479,CO_2891,Eugenio Luraghi,Candido Portinari,16/10/1950,Carta,null,"Lamenta saber que Portinari está de partida para o Rio, sem passar pela Itália. Avisa que tentará ir a Paris para encontrá-lo, antes de sua partida. Insiste na idéia de fazer uma exposição na Itália. Informa que enviará, para o Rio, a revista ""Domus"" com o artigo que escreveu, juntamente com o livro."
4481,CO_2892,Eugenio Luraghi,Candido Portinari,18/12/1950,Carta,Birolli,"Informa que fará logo o anúncio do livro na ""Domus"", uma vez que está demorando muito para sair o seu artigo. Parabeniza Portinari pelo prêmio da Paz, recebido pelo ""Tiradentes"". Comenta que o pintor Birolli fará conferência sobre a pintura de Portinari e que Rafael Alberti está na Itália. Fala no microscópio de João, já embalado e pronto para ser expedido."
4483,CO_2893,Eugenio Luraghi,Candido Portinari,06/07/1949,Telegrama,null,"Solicita envio de fotos de Portinari e de sua família, bem como de obra importante, como o ""Tiradentes"", para publicação."
4484,CO_2894,Eugenio Luraghi,Candido Portinari,14/11/1950,Carta,Rafael Alberti,"Mostra-se desolado por não terem se encontrado, tecendo elogios e augúrios ao pintor. Comenta a demora na publicação do artigo e do livro.  Avisa que Alberti chegará a Paris em breve e que, por pouco, não encontrará mais Portinari. Pede orientação em relação ao microscópio."
4486,CO_2895,Eugenio Luraghi,Candido Portinari,18/11/1950,Carta,Rafael Alberti,"Acusa recebimento de carta de Portinari, escrita antes dele partir de Paris. Lamenta não ter podido encontrar-se com ele. Pede que Portinari avise quando voltar à Europa, para que ele possa organizar uma exposição. E que Portinari já pense nos quadros que mandará, sugerindo que, depois, visitem Chiampo. Informa que Rafael Alberti está em Genebra. Pede que o pintor escreva sobre o microscópio, que está pronto para ser enviado."
4488,CO_2896,Eugenio Luraghi,Candido Portinari,20/02/1951,Carta,null,"Agradece uma recordação enviada por Portinari, dizendo-se impaciente por ver fotos das novas obras dele. Informa que o livro está quase pronto e que enviará logo um exemplar para Portinari. Torna a perguntar como deve expedir o microscópio de João."
4490,CO_2897,Eugenio Luraghi,Candido Portinari,03/04/1951,Carta,Rafael Alberti,"Informa que o livro, finalmente, está pronto e será enviado, perguntando quantos exemplares Portinari quer. Avisa que já enviou o livro a Alberti e a Neruda."
4491,CO_2898,Eugenio Luraghi,João Candido Portinari,03/04/1951,Carta,null,"Refere-se à amizade de seu filho, Dario, por ele, João. Avisa que vai enviar o microscópio e as máscaras de mergulho que deseja. E que vai enviar, a Portinari, o livro que fez sobre o pintor."
4493,CO_2899,Eugenio Luraghi,João Candido Portinari,06/04/1951,Carta,null,"Informa não haver problema quanto ao envio das máscaras de mergulho, mas que é necessária permissão de importação para o microscópio. Pede que João avise a seu pai que já remeteu o livro e que espera que ele goste."
4494,CO_2900,Eugenio Luraghi,Candido Portinari,24/04/1951,Carta,Chiara Luraghi,"Acusa recebimento de carta de Portinari, mostrando-se satisfeito por sabê-lo trabalhando muito, num afresco de grandes dimensões. Comenta o interesse de sua filha, Chiara, pela pintura. Reforça o pedido da permissão de importação, para o envio do microscópio de João. Diz esperar que Portinari tenha recebido o livro, avisando que enviará crítica."
4496,CO_2901,Eugenio Luraghi,Candido Portinari,21/05/1951,Carta,null,"Trata de assuntos pessoais, especialmente quanto ao envio do microscópio de João, ressaltando que Portinari não faça cerimônia no pedido de livros, pois enviará quantos exemplares o artista indicar. Elogia o quadro que recebeu de presente."
